,LOAN_AMOUNT,LOAN_BEHAVIOR,LOAN_START_DATE
15400,79998.79,Current,2022-03-10
15401,130000.39,Current,2022-03-11
15402,17999.56,Current,2022-03-11
15403,500000.28,Current,2022-03-11
15404,499999.96,Amortization Past Due,2022-03-11
15405,510000.97,Current,2022-03-11
15406,29999.29,Items for litigation,2022-03-16
15407,25000.55,Principal Past Due,2022-03-17
15408,39998.43,Items for litigation,2022-03-17
15409,249997.39,Current,2022-03-17
15410,19999.72,Current,2022-03-18
15411,120000.53,Current,2022-03-18
15412,110001.89,Principal Past Due,2022-03-18
15413,142999.77,Amortization Past Due,2022-03-18
15414,33997.65,Principal Past Due,2022-03-18
15415,66000.43,Current,2022-03-18
15416,70002.63,Principal Past Due,2022-03-21
15417,150001.4,Current,2022-03-21
15418,20001.45,Items for litigation,2022-03-21
15419,45999.6,Current,2022-03-22
15420,40000.39,Current,2022-03-22
15421,519997.13,Current,2022-03-22
15422,30000.22,Current,2022-03-23
15423,29998.85,Items for litigation,2022-03-23
15424,29999.58,Current,2022-03-23
15425,34999.94,Principal Past Due,2022-03-23
15426,65000.39,Current,2022-03-25
15427,70000.75,Current,2022-03-28
15428,80000.56,Amortization Past Due,2022-03-29
15429,95001.65,Items for litigation,2022-03-29
15430,1069998.82,Current,2022-03-29
15431,55000.49,Items for litigation,2022-03-29
15432,99999.25,Amortization Past Due,2022-03-29
15433,185000.07,Current,2022-03-29
15434,69999.25,Current,2022-03-30
15435,690002.23,Current,2022-03-30
15436,199999.83,Current,2022-03-30
15437,45001.33,Current,2022-03-30
15438,54999.46,Principal Past Due,2022-03-30
15439,54999.73,Current,2022-03-31
15440,50000.86,Current,2022-03-31
15441,409000.57,Current,2022-04-04
15442,44999.32,Current,2022-04-05
15443,65000.73,Current,2022-04-05
15444,70000.38,Current,2022-04-06
15445,30000.68,Current,2022-04-06
15446,144999.99,Current,2022-04-07
15447,75001.01,Current,2022-04-08
15448,165000.08,Current,2022-04-08
15449,150001.08,Current,2022-04-08
15450,55000.95,Amortization Past Due,2022-04-08
15451,195998.12,Current,2022-04-08
15452,500000.38,Amortization Past Due,2022-04-08
15453,80001.56,Current,2022-04-11
15454,94999.39,Current,2022-04-12
15455,25000.06,Current,2022-04-12
15456,1000000.06,Amortization Past Due,2022-04-12
15457,499999.06,Principal Past Due,2022-04-12
15458,75001.82,Current,2022-04-20
15459,150001.24,Amortization Past Due,2022-04-22
15460,34998.08,Current,2022-04-22
15461,124999.53,Amortization Past Due,2022-04-22
15462,279001.97,Current,2022-04-26
15463,49999.55,Items for litigation,2022-04-27
15464,105000.31,Current,2022-04-27
15465,39999.36,Current,2022-04-27
15466,84998.24,Current,2022-04-27
15467,150000.76,Current,2022-04-29
15468,55000.29,Items for litigation,2022-04-29
15469,35000.27,Current,2022-04-29
15470,70000.63,Current,2022-05-04
15471,19998.93,Amortization Past Due,2022-05-04
15472,70000.47,Current,2022-05-05
15473,55998.55,Current,2022-05-06
15474,10000.05,Current,2022-05-10
15475,40000.77,Items for litigation,2022-05-10
15476,1499999.27,Current,2022-05-10
15477,49999.54,Current,2022-05-11
15478,185002.88,Items for litigation,2022-05-12
15479,29999.6,Amortization Past Due,2022-05-13
15480,65000.93,Principal Past Due,2022-05-13
15481,126000.98,Current,2022-05-16
15482,189999.16,Current,2022-05-17
15483,200000.17,Principal Past Due,2022-05-17
15484,70000.55,Principal Past Due,2022-05-17
15485,80001.36,Current,2022-05-19
15486,20001.34,Principal Past Due,2022-05-19
15487,55000.28,Current,2022-05-19
15488,60001.87,Principal Past Due,2022-05-20
15489,500000.46,Current,2022-05-20
15490,60000.05,Current,2022-05-20
15491,50001.43,Current,2022-05-23
15492,160000.68,Items for litigation,2022-05-23
15493,70001.29,Current,2022-05-23
15494,35000.36,Principal Past Due,2022-05-24
15495,99999.9,Current,2022-05-24
15496,79999.03,Current,2022-05-25
15497,49997.1,Current,2022-05-25
15498,64999.57,Amortization Past Due,2022-05-25
15499,754999.45,Current,2022-05-25
15500,149998.91,Current,2022-05-25
15501,99999.84,Current,2022-05-26
15502,20000.3,Current,2022-05-26
15503,44999.63,Current,2022-05-26
15504,40000.14,Current,2022-05-26
15505,499999.19,Current,2022-05-27
15506,49999.63,Amortization Past Due,2022-05-27
15507,29998.79,Current,2022-05-27
15508,15001.26,Principal Past Due,2022-05-30
15509,19000.05,Current,2022-05-30
15510,55000.31,Current,2022-05-30
15511,69999.7,Current,2022-05-31
15512,69998.86,Amortization Past Due,2022-06-01
15513,270000.64,Amortization Past Due,2022-06-01
15514,499999.52,Current,2022-06-02
15515,50000.66,Current,2022-06-02
15516,130000.75,Current,2022-06-02
15517,692999.23,Current,2022-06-03
15518,162000.45,Current,2022-06-06
15519,500001.8,Current,2022-06-08
15520,1599999.18,Current,2022-06-09
15521,35000.04,Current,2022-06-09
15522,105002.0,Items for litigation,2022-06-10
15523,645000.78,Current,2022-06-13
15524,748000.07,Current,2022-06-13
15525,89999.31,Current,2022-06-13
15526,75998.68,Current,2022-06-13
15527,89998.93,Amortization Past Due,2022-06-15
15528,34999.23,Current,2022-06-16
15529,40001.88,Principal Past Due,2022-06-17
15530,699999.35,Current,2022-06-21
15531,600002.29,Items for litigation,2022-06-22
15532,1999999.91,Current,2022-06-23
15533,90000.11,Current,2022-06-24
15534,194999.7,Current,2022-06-24
15535,54999.51,Principal Past Due,2022-06-24
15536,44999.52,Principal Past Due,2022-06-27
15537,39999.53,Current,2022-06-27
15538,70002.01,Current,2022-06-27
15539,39998.83,Current,2022-06-28
15540,74998.33,Current,2022-06-28
15541,69999.96,Current,2022-06-28
15542,50001.22,Current,2022-06-30
15543,29998.79,Current,2022-06-30
15544,1999998.28,Current,2022-06-30
15545,485001.02,Current,2022-07-04
15546,74999.38,Current,2022-07-05
15547,59999.48,Current,2022-07-05
15548,1450000.47,Current,2022-07-05
15549,89999.83,Current,2022-07-06
15550,169001.67,Current,2022-07-06
15551,499999.9,Current,2022-07-06
15552,1999999.6,Current,2022-07-06
15553,120000.64,Amortization Past Due,2022-07-06
15554,44999.92,Current,2022-07-06
15555,29998.62,Current,2022-07-06
15556,234999.6,Principal Past Due,2022-07-07
15557,40000.72,Current,2022-07-07
15558,45000.98,Amortization Past Due,2022-07-07
15559,64999.77,Principal Past Due,2022-07-07
15560,69998.17,Current,2022-07-08
15561,60000.66,Current,2022-07-08
15562,199999.49,Current,2022-07-08
15563,314998.85,Current,2022-07-08
15564,60000.77,Current,2022-07-11
15565,79999.72,Current,2022-07-11
15566,299999.2,Current,2022-07-12
15567,400000.84,Current,2022-07-12
15568,40001.14,Current,2022-07-13
15569,60000.47,Current,2022-07-13
15570,43998.84,Current,2022-07-14
15571,14000.41,Current,2022-07-15
15572,75001.38,Items for litigation,2022-07-15
15573,280000.56,Current,2022-07-15
15574,25000.72,Current,2022-07-15
15575,30000.25,Current,2022-07-15
15576,1499998.86,Current,2022-07-18
15577,20000.0,Current,2022-07-18
15578,34998.5,Current,2022-07-18
15579,49998.91,Current,2022-07-18
15580,99999.63,Principal Past Due,2022-07-18
15581,14000.95,Principal Past Due,2022-07-18
15582,94998.83,Current,2022-07-20
15583,209999.01,Current,2022-07-20
15584,28000.34,Current,2022-07-21
15585,74999.08,Current,2022-07-25
15586,10001.64,Current,2022-07-26
15587,99999.02,Current,2022-07-26
15588,32999.23,Current,2022-07-26
15589,20000.46,Current,2022-07-27
15590,500001.03,Current,2022-07-28
15591,39999.69,Items for litigation,2022-07-28
15592,45000.87,Current,2022-07-28
15593,65002.06,Current,2022-07-29
15594,35000.57,Current,2022-07-29
15595,64998.13,Current,2022-07-29
15596,39999.65,Current,2022-08-01
15597,269999.29,Principal Past Due,2022-08-03
15598,40998.08,Current,2022-08-03
15599,39999.39,Current,2022-08-04
15600,400000.34,Items for litigation,2022-08-05
15601,350000.02,Current,2022-08-05
15602,39999.2,Current,2022-08-08
15603,105001.79,Current,2022-08-09
15604,499999.59,Current,2022-08-09
15605,104998.75,Current,2022-08-09
15606,20001.69,Current,2022-08-10
15607,240000.85,Current,2022-08-15
15608,45000.3,Current,2022-08-16
15609,29999.95,Current,2022-08-19
15610,40001.72,Principal Past Due,2022-08-19
15611,720001.2,Current,2022-08-19
15612,80001.24,Principal Past Due,2022-08-19
15613,105000.99,Current,2022-08-19
15614,69999.11,Current,2022-08-19
15615,120001.17,Amortization Past Due,2022-08-22
15616,105001.51,Current,2022-08-22
15617,80000.19,Current,2022-08-23
15618,45000.88,Current,2022-08-23
15619,60002.21,Current,2022-08-23
15620,36000.95,Current,2022-08-24
15621,55001.86,Current,2022-08-25
15622,300000.89,Current,2022-08-25
15623,110000.42,Current,2022-08-25
15624,20000.91,Current,2022-08-25
15625,149999.67,Current,2022-08-25
15626,228000.29,Current,2022-08-26
15627,79999.48,Current,2022-08-26
15628,30000.12,Current,2022-08-26
15629,54999.78,Current,2022-08-26
15630,70000.91,Amortization Past Due,2022-08-30
15631,150000.65,Current,2022-08-30
15632,104999.06,Current,2022-08-30
15633,54999.16,Current,2022-08-30
15634,199999.28,Current,2022-08-31
15635,69999.94,Current,2022-08-31
15636,19998.73,Current,2022-09-01
15637,34998.93,Current,2022-09-01
15638,26000.67,Amortization Past Due,2022-09-02
15639,10000.93,Current,2022-09-02
15640,20000.18,Current,2022-09-02
15641,59998.68,Current,2022-09-02
15642,40000.48,Current,2022-09-02
15643,69999.42,Current,2022-09-02
15644,32000.05,Current,2022-09-05
15645,39999.85,Current,2022-09-06
15646,94999.47,Amortization Past Due,2022-09-07
15647,59998.63,Current,2022-09-08
15648,36000.28,Current,2022-09-08
15649,149998.83,Amortization Past Due,2022-09-08
15650,29999.68,Current,2022-09-08
15651,150000.1,Current,2022-09-09
15652,39998.47,Current,2022-09-12
15653,200001.73,Current,2022-09-12
15654,34999.93,Current,2022-09-12
15655,235001.63,Current,2022-09-13
15656,150000.49,Amortization Past Due,2022-09-13
15657,225000.28,Current,2022-09-14
15658,100000.09,Current,2022-09-14
15659,499999.76,Current,2022-09-14
15660,40000.83,Current,2022-09-14
15661,50001.3,Amortization Past Due,2022-09-15
15662,99999.86,Current,2022-09-19
15663,220001.17,Amortization Past Due,2022-09-20
15664,129998.61,Current,2022-09-20
15665,94999.76,Current,2022-09-20
15666,79998.56,Current,2022-09-20
15667,154998.73,Current,2022-09-20
15668,39999.21,Amortization Past Due,2022-09-21
15669,128999.77,Current,2022-09-22
15670,80000.19,Current,2022-09-22
15671,175000.42,Amortization Past Due,2022-09-22
15672,30001.51,Amortization Past Due,2022-09-27
15673,699999.95,Current,2022-09-27
15674,79999.09,Current,2022-09-27
15675,50001.08,Amortization Past Due,2022-09-27
15676,153000.58,Current,2022-09-27
15677,200000.31,Current,2022-09-28
15678,50000.93,Amortization Past Due,2022-09-28
15679,200001.42,Current,2022-09-29
15680,975001.1,Current,2022-09-30
15681,65000.18,Current,2022-09-30
15682,98998.83,Current,2022-09-30
15683,499999.41,Current,2022-09-30
15684,94997.54,Current,2022-09-30
15685,210001.87,Current,2022-09-30
15686,99999.64,Current,2022-09-30
15687,205000.56,Current,2022-09-30
15688,149999.82,Current,2022-09-30
15689,499999.99,Amortization Past Due,2022-10-03
15690,54999.78,Current,2022-10-03
15691,25000.88,Current,2022-10-03
15692,74999.56,Principal Past Due,2022-10-03
15693,29999.98,Current,2022-10-03
15694,274998.76,Current,2022-10-03
15695,105000.0,Current,2022-10-03
15696,19999.39,Principal Past Due,2022-10-04
15697,49999.52,Current,2022-10-04
15698,149999.84,Current,2022-10-04
15699,230000.52,Current,2022-10-04
15700,115000.49,Current,2022-10-04
15701,45000.58,Current,2022-10-04
15702,105002.21,Current,2022-10-05
15703,200001.18,Current,2022-10-05
15704,31000.29,Current,2022-10-06
15705,102000.7,Current,2022-10-06
15706,200000.41,Current,2022-10-07
15707,1145001.89,Current,2022-10-07
15708,254999.56,Current,2022-10-07
15709,45000.17,Current,2022-10-07
15710,1000000.81,Current,2022-10-07
15711,59999.9,Current,2022-10-10
15712,200001.38,Current,2022-10-10
15713,60001.58,Current,2022-10-11
15714,2099999.62,Current,2022-10-11
15715,145999.48,Current,2022-10-12
15716,44998.47,Current,2022-10-12
15717,333000.01,Current,2022-10-12
15718,425001.12,Current,2022-10-12
15719,415000.52,Current,2022-10-12
15720,39999.79,Current,2022-10-13
15721,400000.66,Current,2022-10-13
15722,82999.35,Current,2022-10-13
15723,34999.49,Current,2022-10-13
15724,30000.61,Current,2022-10-13
15725,240001.82,Current,2022-10-14
15726,300001.82,Amortization Past Due,2022-10-14
15727,269999.0,Current,2022-10-14
15728,20000.91,Items for litigation,2022-10-17
15729,120000.0,Current,2022-10-17
15730,100000.05,Current,2022-10-17
15731,100001.93,Current,2022-10-17
15732,26000.94,Current,2022-10-18
15733,400000.88,Current,2022-10-18
15734,104000.68,Current,2022-10-18
15735,199998.33,Current,2022-10-19
15736,20001.44,Items for litigation,2022-10-19
15737,29999.59,Current,2022-10-19
15738,70000.75,Current,2022-10-19
15739,46000.59,Current,2022-10-19
15740,79999.04,Current,2022-10-19
15741,349999.44,Current,2022-10-20
15742,74999.99,Current,2022-10-21
15743,132000.9,Current,2022-10-21
15744,59000.17,Current,2022-10-21
15745,51000.62,Current,2022-10-21
15746,50001.1,Current,2022-10-21
15747,1499998.87,Current,2022-10-24
15748,74999.58,Current,2022-10-24
15749,400000.03,Current,2022-10-24
15750,999999.36,Current,2022-10-24
15751,700001.08,Current,2022-10-24
15752,99999.01,Current,2022-10-25
15753,55000.11,Current,2022-10-25
15754,399999.84,Current,2022-10-26
15755,155999.63,Current,2022-10-26
15756,49999.13,Current,2022-10-26
15757,126001.35,Current,2022-10-27
15758,155998.31,Principal Past Due,2022-10-27
15759,45001.06,Current,2022-10-27
15760,699999.7,Amortization Past Due,2022-10-27
15761,105999.36,Principal Past Due,2022-10-27
15762,700000.28,Current,2022-10-27
15763,85000.88,Current,2022-10-27
15764,55000.36,Current,2022-10-27
15765,85000.2,Current,2022-10-27
15766,35000.01,Current,2022-10-28
15767,89999.79,Current,2022-11-02
15768,40000.04,Amortization Past Due,2022-11-02
15769,20000.28,Current,2022-11-03
15770,335999.89,Current,2022-11-03
15771,149999.59,Amortization Past Due,2022-11-03
15772,45001.04,Current,2022-11-03
15773,1000001.09,Current,2022-11-03
15774,85000.78,Current,2022-11-04
15775,34998.64,Current,2022-11-04
15776,80000.53,Current,2022-11-04
15777,76999.91,Current,2022-11-07
15778,400001.66,Current,2022-11-08
15779,70000.23,Current,2022-11-08
15780,499999.05,Current,2022-11-09
15781,19998.27,Current,2022-11-09
15782,100000.41,Current,2022-11-09
15783,34998.31,Current,2022-11-09
15784,97999.87,Current,2022-11-10
15785,64999.38,Principal Past Due,2022-11-10
15786,29999.96,Current,2022-11-10
15787,149998.72,Current,2022-11-11
15788,34998.96,Current,2022-11-11
15789,34999.21,Principal Past Due,2022-11-11
15790,29999.92,Current,2022-11-11
15791,29999.95,Current,2022-11-14
15792,35001.13,Current,2022-11-14
15793,70999.68,Current,2022-11-14
15794,700000.37,Current,2022-11-14
15795,34999.56,Current,2022-11-14
15796,75000.59,Current,2022-11-15
15797,179999.47,Current,2022-11-15
15798,33999.98,Current,2022-11-15
15799,94999.08,Current,2022-11-15
15800,129998.75,Current,2022-11-15
15801,25001.01,Current,2022-11-15
15802,124998.45,Current,2022-11-15
15803,29998.76,Current,2022-11-15
15804,424000.03,Current,2022-11-16
15805,19001.46,Current,2022-11-17
15806,170000.45,Amortization Past Due,2022-11-17
15807,14000.08,Items for litigation,2022-11-18
15808,30000.6,Amortization Past Due,2022-11-18
15809,29999.8,Amortization Past Due,2022-11-21
15810,39998.9,Current,2022-11-21
15811,44998.39,Current,2022-11-21
15812,90000.57,Current,2022-11-21
15813,135000.2,Current,2022-11-21
15814,30000.15,Principal Past Due,2022-11-21
15815,74999.9,Amortization Past Due,2022-11-21
15816,39999.21,Principal Past Due,2022-11-22
15817,34998.59,Principal Past Due,2022-11-22
15818,200001.52,Current,2022-11-22
15819,100001.14,Current,2022-11-23
15820,65002.06,Principal Past Due,2022-11-23
15821,39999.75,Principal Past Due,2022-11-24
15822,29999.84,Current,2022-11-24
15823,244999.22,Current,2022-11-24
15824,65001.51,Current,2022-11-24
15825,199999.31,Current,2022-11-25
15826,79997.86,Amortization Past Due,2022-11-28
15827,275001.27,Current,2022-11-29
15828,22998.89,Current,2022-11-29
15829,409999.82,Current,2022-11-29
15830,700001.87,Current,2022-11-29
15831,90001.28,Principal Past Due,2022-12-01
15832,34999.28,Current,2022-12-01
15833,64999.25,Current,2022-12-01
15834,34999.28,Current,2022-12-01
15835,99999.37,Principal Past Due,2022-12-01
15836,30000.08,Principal Past Due,2022-12-02
15837,115499.68,Current,2022-12-02
15838,46998.52,Current,2022-12-02
15839,179999.4,Amortization Past Due,2022-12-02
15840,200000.24,Current,2022-12-02
15841,35000.38,Current,2022-12-02
15842,119999.53,Current,2022-12-05
15843,33999.71,Current,2022-12-05
15844,67999.69,Current,2022-12-06
15845,74998.95,Current,2022-12-06
15846,50000.03,Current,2022-12-06
15847,39999.24,Current,2022-12-06
15848,135001.72,Current,2022-12-07
15849,52999.08,Current,2022-12-07
15850,50001.26,Principal Past Due,2022-12-09
15851,29999.29,Current,2022-12-09
15852,90000.56,Current,2022-12-09
15853,64999.62,Current,2022-12-12
15854,164999.44,Current,2022-12-12
15855,29999.77,Current,2022-12-12
15856,15999.74,Amortization Past Due,2022-12-13
15857,200000.39,Current,2022-12-14
15858,39999.71,Current,2022-12-14
15859,60000.59,Current,2022-12-14
15860,44998.77,Current,2022-12-15
15861,215000.3,Current,2022-12-15
15862,79999.56,Current,2022-12-16
15863,45001.36,Current,2022-12-19
15864,94999.13,Principal Past Due,2022-12-19
15865,1999999.92,Current,2022-12-20
15866,200000.11,Current,2022-12-20
15867,44999.34,Current,2022-12-20
15868,35000.79,Current,2022-12-20
15869,125000.54,Current,2022-12-20
15870,70000.65,Current,2022-12-21
15871,100000.05,Current,2022-12-21
15872,14999.52,Items for litigation,2022-12-21
15873,174999.2,Current,2022-12-21
15874,50001.8,Principal Past Due,2022-12-22
15875,80000.15,Current,2022-12-22
15876,90002.97,Current,2022-12-22
15877,69998.66,Current,2022-12-22
15878,99999.06,Current,2022-12-22
15879,64998.72,Current,2022-12-23
15880,69999.61,Current,2022-12-27
15881,59999.98,Current,2022-12-27
15882,50000.51,Current,2022-12-27
15883,29998.23,Current,2022-12-27
15884,100001.81,Current,2022-12-28
15885,35000.78,Current,2022-12-28
15886,399999.0,Current,2023-01-03
15887,74999.38,Current,2023-01-04
15888,25997.2,Current,2023-01-04
15889,135000.97,Current,2023-01-04
15890,35000.83,Amortization Past Due,2023-01-04
15891,100000.72,Current,2023-01-05
15892,29999.67,Current,2023-01-05
15893,35002.41,Principal Past Due,2023-01-05
15894,131001.06,Current,2023-01-05
15895,500001.03,Current,2023-01-06
15896,99999.99,Current,2023-01-06
15897,414997.69,Current,2023-01-06
15898,44999.69,Current,2023-01-06
15899,35000.95,Current,2023-01-06
15900,30000.73,Current,2023-01-09
15901,1000001.09,Current,2023-01-09
15902,99998.78,Current,2023-01-09
15903,74998.41,Current,2023-01-10
15904,14998.59,Current,2023-01-10
15905,38999.21,Current,2023-01-11
15906,90000.05,Principal Past Due,2023-01-11
15907,49999.99,Current,2023-01-12
15908,140000.68,Current,2023-01-12
15909,141999.85,Current,2023-01-12
15910,224999.2,Current,2023-01-12
15911,110002.38,Current,2023-01-13
15912,29999.26,Current,2023-01-13
15913,285999.05,Current,2023-01-13
15914,65002.57,Current,2023-01-13
15915,50000.3,Current,2023-01-13
15916,84999.94,Current,2023-01-13
15917,39999.06,Current,2023-01-13
15918,174999.9,Current,2023-01-13
15919,105000.16,Current,2023-01-13
15920,84998.64,Amortization Past Due,2023-01-16
15921,13000.33,Current,2023-01-16
15922,67998.83,Current,2023-01-16
15923,60000.86,Current,2023-01-17
15924,60000.11,Current,2023-01-17
15925,30000.73,Current,2023-01-17
15926,124000.73,Current,2023-01-17
15927,60001.34,Current,2023-01-18
15928,84999.45,Amortization Past Due,2023-01-18
15929,199999.5,Current,2023-01-18
15930,69999.68,Current,2023-01-18
15931,45000.36,Current,2023-01-19
15932,29999.68,Current,2023-01-19
15933,74999.28,Current,2023-01-19
15934,120000.28,Current,2023-01-19
15935,699999.23,Current,2023-01-19
15936,70000.19,Amortization Past Due,2023-01-19
15937,626000.29,Current,2023-01-19
15938,84999.89,Current,2023-01-20
15939,130000.47,Current,2023-01-20
15940,69999.67,Current,2023-01-20
15941,32000.95,Current,2023-01-20
15942,35000.1,Current,2023-01-20
15943,100000.9,Current,2023-01-23
15944,999998.56,Current,2023-01-23
15945,135000.73,Current,2023-01-23
15946,209997.96,Current,2023-01-23
15947,201499.57,Current,2023-01-23
15948,104998.96,Amortization Past Due,2023-01-23
15949,49998.58,Current,2023-01-23
15950,200000.22,Current,2023-01-24
15951,54998.28,Current,2023-01-24
15952,199999.36,Current,2023-01-24
15953,44998.69,Current,2023-01-24
15954,80001.19,Current,2023-01-25
15955,60000.92,Current,2023-01-25
15956,589999.65,Current,2023-01-25
15957,80000.83,Current,2023-01-25
15958,29999.46,Amortization Past Due,2023-01-25
15959,160001.69,Principal Past Due,2023-01-25
15960,46999.52,Current,2023-01-25
15961,87000.63,Current,2023-01-25
15962,67999.57,Current,2023-01-26
15963,90000.24,Current,2023-01-26
15964,49999.98,Amortization Past Due,2023-01-26
15965,29999.64,Current,2023-01-26
15966,184001.75,Current,2023-01-26
15967,153000.35,Current,2023-01-27
15968,119998.51,Current,2023-01-27
15969,59998.85,Current,2023-01-27
15970,30000.72,Current,2023-01-27
15971,29998.39,Principal Past Due,2023-01-27
15972,111001.02,Current,2023-01-30
15973,179998.84,Amortization Past Due,2023-01-30
15974,116999.23,Principal Past Due,2023-01-30
15975,105999.32,Principal Past Due,2023-01-30
15976,10000.42,Current,2023-01-31
15977,29999.15,Current,2023-01-31
15978,59998.48,Current,2023-01-31
15979,74999.78,Current,2023-01-31
15980,26000.27,Principal Past Due,2023-02-02
15981,15000.23,Principal Past Due,2023-02-02
15982,39999.96,Current,2023-02-02
15983,100000.5,Current,2023-02-02
15984,114999.93,Current,2023-02-02
15985,294998.87,Current,2023-02-02
15986,51001.91,Current,2023-02-03
15987,85800.13,Amortization Past Due,2023-02-03
15988,115000.21,Current,2023-02-03
15989,90000.65,Current,2023-02-03
15990,69998.32,Current,2023-02-06
15991,99998.24,Current,2023-02-06
15992,428998.77,Current,2023-02-06
15993,89999.43,Current,2023-02-06
15994,102999.44,Current,2023-02-06
15995,749997.69,Current,2023-02-06
15996,300000.55,Amortization Past Due,2023-02-06
15997,84998.89,Current,2023-02-06
15998,55001.43,Principal Past Due,2023-02-06
15999,18998.69,Current,2023-02-07
16000,299999.56,Current,2023-02-07
16001,100001.02,Current,2023-02-08
16002,55000.88,Current,2023-02-08
16003,55000.04,Current,2023-02-08
16004,99997.99,Current,2023-02-08
16005,50000.23,Current,2023-02-08
16006,29997.83,Current,2023-02-09
16007,49999.98,Current,2023-02-10
16008,40002.3,Amortization Past Due,2023-02-10
16009,115000.42,Current,2023-02-10
16010,29999.41,Current,2023-02-10
16011,499999.34,Current,2023-02-10
16012,109999.91,Current,2023-02-10
16013,85000.28,Current,2023-02-13
16014,196000.33,Current,2023-02-13
16015,30001.51,Current,2023-02-13
16016,65001.62,Principal Past Due,2023-02-13
16017,54999.78,Current,2023-02-13
16018,70001.59,Current,2023-02-13
16019,105001.03,Current,2023-02-14
16020,199999.07,Current,2023-02-14
16021,100001.92,Current,2023-02-14
16022,100001.05,Current,2023-02-14
16023,45998.21,Current,2023-02-14
16024,249999.34,Current,2023-02-15
16025,55000.59,Current,2023-02-15
16026,100000.63,Amortization Past Due,2023-02-16
16027,2000000.95,Current,2023-02-16
16028,90000.11,Current,2023-02-16
16029,19998.68,Current,2023-02-16
16030,35000.63,Current,2023-02-17
16031,2499998.25,Current,2023-02-17
16032,64998.84,Amortization Past Due,2023-02-17
16033,69999.18,Current,2023-02-17
16034,1999999.44,Current,2023-02-17
16035,45000.01,Current,2023-02-17
16036,111000.49,Current,2023-02-17
16037,84999.57,Current,2023-02-20
16038,88000.42,Current,2023-02-20
16039,34999.99,Amortization Past Due,2023-02-20
16040,75001.39,Current,2023-02-21
16041,69999.99,Current,2023-02-21
16042,122001.01,Current,2023-02-21
16043,39998.36,Current,2023-02-21
16044,184999.93,Current,2023-02-22
16045,50001.41,Current,2023-02-22
16046,29999.64,Current,2023-02-22
16047,125000.65,Current,2023-02-23
16048,175999.35,Current,2023-02-23
16049,148000.19,Current,2023-02-23
16050,49998.06,Current,2023-02-23
16051,68000.81,Current,2023-02-23
16052,140002.17,Current,2023-02-23
16053,300001.59,Current,2023-02-27
16054,202000.57,Current,2023-02-27
16055,320000.76,Current,2023-02-27
16056,260000.9,Current,2023-02-27
16057,34999.21,Current,2023-02-27
16058,47999.18,Current,2023-02-28
16059,150000.47,Current,2023-02-28
16060,54999.9,Amortization Past Due,2023-02-28
16061,90001.04,Amortization Past Due,2023-03-01
16062,499999.93,Current,2023-03-01
16063,34998.46,Current,2023-03-01
16064,49999.98,Current,2023-03-01
16065,700001.03,Current,2023-03-02
16066,50001.92,Current,2023-03-02
16067,81000.7,Current,2023-03-02
16068,65001.29,Current,2023-03-02
16069,110000.44,Principal Past Due,2023-03-02
16070,95000.74,Current,2023-03-02
16071,59999.02,Current,2023-03-03
16072,60000.0,Current,2023-03-03
16073,80000.07,Current,2023-03-06
16074,58999.75,Current,2023-03-06
16075,200000.09,Current,2023-03-06
16076,99999.4,Current,2023-03-06
16077,115001.63,Current,2023-03-06
16078,35000.39,Current,2023-03-06
16079,107001.16,Current,2023-03-07
16080,44998.89,Current,2023-03-07
16081,69999.01,Current,2023-03-07
16082,59999.74,Principal Past Due,2023-03-07
16083,105000.09,Current,2023-03-08
16084,164999.68,Current,2023-03-08
16085,19998.69,Current,2023-03-08
16086,330001.12,Current,2023-03-09
16087,150000.23,Current,2023-03-09
16088,54999.4,Current,2023-03-09
16089,45000.75,Current,2023-03-09
16090,35001.39,Current,2023-03-09
16091,500000.38,Current,2023-03-09
16092,29999.79,Current,2023-03-09
16093,79999.3,Current,2023-03-10
16094,102999.86,Current,2023-03-10
16095,132000.68,Current,2023-03-10
16096,110001.38,Current,2023-03-10
16097,35000.69,Current,2023-03-10
16098,74999.88,Amortization Past Due,2023-03-10
16099,30000.5,Current,2023-03-10
16100,39999.6,Current,2023-03-10
16101,44999.88,Amortization Past Due,2023-03-13
16102,59999.75,Current,2023-03-13
16103,104998.38,Principal Past Due,2023-03-13
16104,594999.65,Current,2023-03-13
16105,80001.49,Principal Past Due,2023-03-13
16106,58000.32,Amortization Past Due,2023-03-13
16107,80000.86,Current,2023-03-14
16108,59998.12,Current,2023-03-14
16109,75001.51,Current,2023-03-14
16110,250001.66,Amortization Past Due,2023-03-15
16111,80000.44,Amortization Past Due,2023-03-15
16112,51000.42,Current,2023-03-15
16113,200001.9,Current,2023-03-15
16114,90000.61,Current,2023-03-15
16115,29999.34,Principal Past Due,2023-03-15
16116,45000.7,Current,2023-03-15
16117,75001.78,Current,2023-03-15
16118,100001.71,Amortization Past Due,2023-03-16
16119,90001.34,Principal Past Due,2023-03-16
16120,95001.43,Amortization Past Due,2023-03-16
16121,99999.31,Principal Past Due,2023-03-16
16122,100001.03,Current,2023-03-16
16123,75001.4,Current,2023-03-16
16124,89998.68,Current,2023-03-16
16125,69999.09,Principal Past Due,2023-03-16
16126,64999.96,Amortization Past Due,2023-03-16
16127,39998.83,Current,2023-03-16
16128,89999.55,Current,2023-03-16
16129,220000.39,Principal Past Due,2023-03-17
16130,199999.28,Current,2023-03-17
